experiment,condition,system,loss_rate,rtt_ms,loss_schedule,trials,trials_aggregated,integrity_failures,goodput_kib_per_s_mean,goodput_kib_per_s_sd,completion_time_s_mean,completion_time_s_sd,retransmission_count_mean,retransmission_count_sd,retransmission_overhead_mean,retransmission_overhead_sd,switch_count_mean,switch_count_sd,sr_residence_fraction_mean,sr_residence_fraction_sd
E1,loss00,gbn,0.0,100.0,,5,5,0,63.29251067791487,0.15862192882417964,16.178930599999997,0.040487539444871365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,loss00,sr,0.0,100.0,,5,5,0,63.17421521227932,0.06938217065506679,16.2091604,0.017791319099493993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E1,loss00,hybrid,0.0,100.0,,5,5,0,63.20367518312072,0.04997073199138301,16.2015976,0.012811450905341906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1,loss00,fixed-hybrid,0.0,100.0,,5,5,0,63.223890208208886,0.11160443053236889,16.1964496,0.02857495843041573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E2,loss01,gbn,0.01,100.0,,5,5,0,49.09202801471044,3.4341422040891416,20.939901,1.4509457725137431,80.0,25.298221281347036,0.0720738503881504,0.021272864111304135,0.0,0.0,0.0,0.0
E2,loss01,sr,0.01,100.0,,5,5,0,52.41949983822455,2.585465712249538,19.573045,0.9722755469178991,10.2,2.9495762407505253,0.009856246902657299,0.0028264518000579077,0.0,0.0,1.0,0.0
E2,loss01,hybrid,0.01,100.0,,5,5,0,47.991946556052554,2.9917963353851214,21.4029926,1.3273246485307582,59.0,10.88577052853862,0.05440251218076401,0.00942536788984958,5.0,1.4142135623730951,0.3263540659315354,0.08241789668542443
E2,loss01,fixed-hybrid,0.01,100.0,,5,5,0,47.30016737492713,3.473261247798552,21.740682800000002,1.5630171333098686,80.2,25.635912310662945,0.07223161468250566,0.021547521753412388,0.0,0.0,0.0,0.0
E3,loss02,gbn,0.02,100.0,,5,5,0,39.25709032760635,3.8841529685321468,26.299292200000004,2.7176449478714466,170.8,45.3343137148893,0.14198705007317486,0.03182499627500808,0.0,0.0,0.0,0.0
E3,loss02,sr,0.02,100.0,,5,5,0,45.43108460695219,2.388598211017164,22.591537600000002,1.2347074924154302,20.0,2.7386127875258306,0.019151693807551738,0.002570491592307846,0.0,0.0,1.0,0.0
E3,loss02,hybrid,0.02,100.0,,5,5,0,41.455212198365345,1.5715192166232224,24.729544799999996,0.929835628106495,73.8,28.384855116769575,0.06673314065961006,0.023799226514460408,4.4,2.3021728866442674,0.5739497937532655,0.17830199216312215
E3,loss02,fixed-hybrid,0.02,100.0,,5,5,0,38.10801050514791,3.3922959466884817,27.0494436,2.5115293928811186,168.0,43.726422218150894,0.1400345554583336,0.030850852732929732,0.0,0.0,0.0,0.0
E4,loss05,gbn,0.05,100.0,,5,5,0,24.16057632539747,1.4921232322403617,42.5077298,2.525058132090466,454.6,41.73487750071875,0.30700500109455875,0.019844337859238875,0.0,0.0,0.0,0.0
E4,loss05,sr,0.05,100.0,,5,5,0,32.05258908666599,1.312643285003662,31.990302400000008,1.307830309442438,57.4,6.18869937870632,0.05305453504679236,0.005418390835203828,0.0,0.0,1.0,0.0
E4,loss05,hybrid,0.05,100.0,,5,5,0,30.78699061919649,1.1525589340572344,33.297859,1.2378240813219388,88.2,18.088670487352022,0.07911124554043629,0.014682972419660663,1.4,0.8944271909999161,0.8776348091062707,0.05448531045187371
E4,loss05,fixed-hybrid,0.05,100.0,,5,5,0,23.940168685297103,1.5236342771411495,42.9057996,2.605050523656941,450.8,42.45821475286025,0.30520312821001994,0.02021300665409532,0.0,0.0,0.0,0.0
E5,loss10,gbn,0.1,100.0,,5,5,0,14.219882336933356,1.9650428260854154,73.01408620000001,9.113581561486939,961.0,151.41003929726722,0.4815666434397401,0.042086050111067974,0.0,0.0,0.0,0.0
E5,loss10,sr,0.1,100.0,,5,5,0,23.403115707385563,1.5689761788966679,43.9097782,2.8920727438652354,117.6,13.315404612703288,0.10291566945350272,0.01046497698600108,0.0,0.0,1.0,0.0
E5,loss10,hybrid,0.1,100.0,,5,5,0,22.238831165285596,1.88335207174396,46.3094732,3.9016537507233022,180.0,28.635642126552707,0.14911561862934025,0.020290905970782532,1.0,0.0,0.8660329903008377,0.029928478245114208
E5,loss10,fixed-hybrid,0.1,100.0,,5,5,0,14.226297383835547,1.9566611986194624,72.978512,9.128793160561042,959.0,149.50418054355538,0.48110298462692935,0.041639588250495456,0.0,0.0,0.0,0.0
E6,loss20,gbn,0.2,100.0,,5,5,0,7.357134081840547,0.4614716806755529,139.6209464,8.704288921961183,2129.4,153.68083810286825,0.6746440663065767,0.016096397789363903,0.0,0.0,0.0,0.0
E6,loss20,sr,0.2,100.0,,5,5,0,15.888223555812235,0.9485780075923589,64.6301606,3.771575383406291,251.2,21.147103820618085,0.19681019249394865,0.013457243746332866,0.0,0.0,1.0,0.0
E6,loss20,hybrid,0.2,100.0,,5,5,0,14.700193548228068,0.6627319888210327,69.77274179999999,3.157046563952329,378.4,29.099828178186893,0.2695702804822595,0.01523498164455104,1.0,0.0,0.8531775805944417,0.01870790841614671
E6,loss20,fixed-hybrid,0.2,100.0,,5,5,0,7.372090327946056,0.5178160708795927,139.43453719999997,9.487392603107008,2118.2,164.29150921456653,0.6733829353730875,0.017486279481936186,0.0,0.0,0.0,0.0
E7,rtt010,gbn,0.05,10.0,,5,5,0,66.53818810602777,5.286777780400095,15.4622384,1.142954482149792,407.6,56.042840755978816,0.2837995808632673,0.029281336873891697,0.0,0.0,0.0,0.0
E7,rtt010,sr,0.05,10.0,,5,5,0,85.71505254277827,3.476719252274746,11.9618752,0.47220085602707246,52.8,4.43846820423443,0.04902122638430948,0.003926872412623865,0.0,0.0,1.0,0.0
E7,rtt010,hybrid,0.05,10.0,,5,5,0,83.25956784573812,2.4983692752320468,12.307724000000002,0.3681620037585357,91.4,19.30802941783547,0.08172364616375079,0.01589145395645826,1.0,0.0,0.8332609660272983,0.04514160706106158
E7,rtt050,gbn,0.05,50.0,,5,5,0,48.97029027624613,4.018298932975503,21.021126,1.6842415935150166,430.6,76.95972972925516,0.2944184976216973,0.037995429238864724,0.0,0.0,0.0,0.0
